traffic_density,weather_severity,time_of_day,road_condition_index,historical_incidents,risk_score
0.381,0.69,16,0.32,3,0.4937
0.412,0.594,6,0.027,4,0.6018
0.728,0.749,7,0.918,1,0.4721
0.452,0.151,14,0.218,4,0.4637
0.857,0.942,5,0.728,1,0.6828
0.944,0.621,0,0.659,3,0.5618
0.336,0.847,8,0.158,4,0.6119
0.561,0.247,6,0.196,3,0.5169
0.095,0.739,21,0.329,4,0.612
0.2,0.781,19,0.757,4,0.631
0.413,0.397,18,0.039,0,0.4147
0.206,0.384,3,0.407,2,0.3701
0.877,0.658,0,0.665,2,0.6249
0.158,0.093,8,0.171,3,0.3569
0.456,0.736,1,0.119,3,0.6535
0.606,0.043,15,0.39,3,0.4468
0.692,0.191,1,0.287,0,0.4608
0.383,0.664,2,0.649,0,0.4163
0.869,0.098,13,0.97,3,0.374
0.568,0.972,12,0.004,0,0.6295
0.44,0.868,16,0.902,4,0.5212
0.067,0.626,9,0.433,4,0.4656
0.465,0.819,2,0.664,4,0.4867
0.821,0.888,3,0.851,2,0.6313
0.615,0.259,4,0.573,4,0.4206
0.832,0.849,10,0.097,2,0.7331
0.494,0.195,5,0.141,4,0.4797
0.118,0.413,0,0.789,3,0.2545
0.014,0.558,18,0.229,2,0.4083
0.303,0.714,6,0.569,0,0.4264
0.698,0.03,22,0.428,2,0.4308
0.79,0.291,9,0.304,1,0.5087
0.296,0.609,11,0.787,2,0.4771
0.496,0.357,11,0.731,4,0.4285
0.421,0.775,0,0.646,4,0.5626
0.411,0.652,8,0.373,4,0.5309
0.231,0.234,16,0.226,0,0.2886
0.136,0.146,22,0.516,3,0.3224
0.197,0.629,11,0.817,2,0.3852
0.055,0.45,1,0.576,0,0.2069
0.198,0.169,8,0.97,1,0.2059
0.009,0.326,11,0.015,2,0.2628
0.627,0.303,3,0.998,4,0.4052
0.316,0.108,21,0.691,0,0.2478
0.973,0.547,11,0.833,0,0.5271
0.194,0.764,17,0.335,2,0.6201
0.346,0.575,2,0.508,0,0.443
0.358,0.826,21,0.797,0,0.5427
0.008,0.128,0,0.761,0,0.0508
0.839,0.436,22,0.334,2,0.5495
0.032,0.609,17,0.324,4,0.5664
0.94,0.676,23,0.663,0,0.5973
0.892,0.696,20,0.934,0,0.6639
0.536,0.729,22,0.439,3,0.6656
0.544,0.651,7,0.353,1,0.5296
0.654,0.094,18,0.895,3,0.377
0.387,0.695,21,0.683,4,0.6217
0.647,0.725,3,0.388,3,0.6945
0.045,0.993,22,0.057,2,0.6888
0.054,0.693,15,0.721,3,0.4423
0.457,0.687,16,0.353,2,0.6869
0.55,0.515,22,0.071,3,0.6705
0.888,0.868,8,0.612,3,0.7051
0.105,0.997,7,0.323,1,0.5745
0.823,0.779,19,0.338,2,0.7445
0.21,0.613,18,0.479,4,0.5342
0.394,0.079,6,0.717,0,0.2652
0.317,0.727,11,0.276,4,0.6088
0.4,0.709,0,0.081,3,0.5787
0.15,0.776,23,0.424,4,0.5519
0.504,0.125,16,0.055,3,0.5743
0.802,0.654,22,0.697,3,0.6847
0.442,0.296,5,0.959,0,0.2607
0.491,0.76,23,0.659,1,0.6199
0.849,0.24,21,0.275,1,0.6132
0.706,0.684,4,0.182,0,0.5999
0.49,0.295,19,0.233,4,0.482
0.258,0.009,6,0.222,2,0.2407
0.885,0.633,21,0.314,0,0.6168
0.577,0.113,21,0.097,3,0.4861
0.221,0.659,11,0.896,1,0.3797
0.269,0.926,4,0.885,1,0.4493
0.803,0.969,1,0.615,4,0.7768
0.044,0.236,3,0.062,2,0.2278
0.992,0.809,16,0.804,0,0.7022
0.13,0.354,7,0.062,3,0.3399
0.796,0.9,19,0.106,3,0.8831
0.395,0.787,4,0.325,2,0.4506
0.492,0.074,16,0.431,4,0.4147
0.881,0.407,19,0.354,2,0.6714
0.413,0.337,3,0.165,4,0.4797
0.537,0.785,20,0.112,4,0.6782
0.049,0.41,17,0.859,0,0.2742
0.002,0.685,17,0.363,0,0.4142
0.245,0.602,17,0.219,3,0.4498
0.681,0.976,15,0.487,1,0.6634
0.121,0.938,10,0.037,4,0.5994
0.114,0.428,7,0.6,3,0.2658
0.411,0.724,11,0.248,1,0.5694
0.648,0.829,17,0.598,3,0.788
0.712,0.899,21,0.614,4,0.7524
0.178,0.068,17,0.809,1,0.1621
0.08,0.302,7,0.23,2,0.2893
0.94,0.32,15,0.463,0,0.4256
0.261,0.434,16,0.962,0,0.2195
0.853,0.169,1,0.727,1,0.4104
0.863,0.496,20,0.975,1,0.5217
0.773,0.663,21,0.927,4,0.5611
0.169,0.497,14,0.611,1,0.3703
0.822,0.666,21,0.264,0,0.6635
0.769,0.066,23,0.757,4,0.4991
0.597,0.876,6,0.698,3,0.579
0.337,0.939,0,0.589,0,0.5946
0.263,0.618,1,0.698,2,0.3173
0.122,0.881,3,0.614,4,0.4497
0.51,0.131,15,0.519,2,0.2871
0.585,0.797,11,0.416,1,0.5774
0.359,0.119,16,0.045,3,0.4138
0.475,0.408,23,0.866,1,0.4596
0.364,0.324,3,0.866,0,0.2473
0.641,0.586,15,0.594,3,0.6073
0.901,0.302,6,0.268,0,0.5498
0.164,0.637,22,0.028,3,0.5393
0.381,0.367,7,0.001,2,0.3995
0.141,0.861,8,0.073,0,0.5197
0.625,0.634,13,0.36,0,0.6128
0.729,0.215,22,0.188,1,0.6028
0.932,0.336,8,0.265,4,0.5196
0.279,0.847,14,0.7,0,0.4005
0.95,0.386,20,0.959,3,0.4936
0.063,0.536,3,0.207,1,0.4182
0.603,0.649,2,0.466,4,0.6351
0.057,0.348,21,0.991,0,0.2199
0.894,0.294,9,0.932,2,0.4576
0.53,0.475,3,0.352,1,0.488
0.669,0.215,17,0.32,2,0.5098
0.832,0.284,10,0.242,3,0.6549
0.15,0.062,18,0.155,1,0.2687
0.039,0.304,18,0.46,1,0.3245
0.879,0.321,17,0.341,1,0.5679
0.315,0.962,12,0.745,4,0.6557
0.129,0.59,3,0.237,4,0.4829
0.468,0.787,2,0.736,0,0.461
0.598,0.045,15,0.288,2,0.3788
0.031,0.107,13,0.593,0,0.1498
0.275,0.815,9,0.638,2,0.4401
0.033,0.624,5,0.672,0,0.3411
0.42,0.191,7,0.175,1,0.3406
0.895,0.405,23,0.283,1,0.6417
0.983,0.539,15,0.246,2,0.6226
0.637,0.844,9,0.576,1,0.6255
0.162,0.06,21,0.076,0,0.271
0.906,0.597,20,0.518,4,0.8478
0.516,0.717,6,0.087,3,0.6609
0.154,0.978,18,0.337,0,0.4562
0.922,0.807,17,0.687,2,0.7774
0.757,0.276,12,0.413,1,0.4928
0.732,0.71,7,0.28,3,0.5863
0.709,0.763,13,0.616,3,0.5909
0.2,0.73,8,0.74,1,0.3551
0.211,0.82,11,0.255,0,0.5816
0.688,0.904,5,0.299,1,0.6036
0.22,0.098,19,0.64,4,0.3157
0.439,0.105,21,0.965,2,0.2563
0.782,0.796,22,0.214,1,0.7106
0.784,0.252,11,0.654,0,0.442
0.453,0.059,23,0.907,4,0.3701
0.792,0.401,18,0.462,4,0.5565
0.839,0.82,11,0.317,0,0.5833
0.655,0.127,21,0.667,2,0.354
0.228,0.672,21,0.031,3,0.5778
0.274,0.004,6,0.36,4,0.3129
0.315,0.11,14,0.258,0,0.327
0.117,0.351,15,0.225,4,0.489
0.273,0.084,3,0.18,3,0.3396
0.21,0.846,5,0.737,0,0.3818
0.455,0.864,15,0.955,4,0.6026
0.908,0.756,14,0.385,0,0.5867
0.104,0.242,1,0.049,0,0.2967
0.72,0.523,23,0.719,3,0.6306
0.687,0.184,2,0.538,0,0.2917
0.096,0.281,14,0.724,2,0.357
0.923,0.516,7,0.648,4,0.6597
0.568,0.735,11,0.905,1,0.5742
0.364,0.095,21,0.14,2,0.4502
0.757,0.297,1,0.169,2,0.4672
0.257,0.927,14,0.342,0,0.5345
0.694,0.429,7,0.491,2,0.4597
0.04,0.939,21,0.926,2,0.3596
0.839,0.991,10,0.907,2,0.7256
0.448,0.527,16,0.872,0,0.4715
0.637,0.288,21,0.223,2,0.5316
0.221,0.791,20,0.73,1,0.6372
0.677,0.159,21,0.383,2,0.4495
0.772,0.252,0,0.931,0,0.2663
0.473,0.785,19,0.215,0,0.633
0.618,0.434,22,0.141,3,0.6215
0.456,0.202,14,0.842,3,0.3935
0.894,0.651,20,0.717,1,0.6622
0.498,0.733,21,0.821,4,0.664
0.842,0.125,1,0.158,3,0.4095
0.801,0.277,23,0.885,2,0.4895
0.411,0.221,9,0.678,0,0.2682
0.23,0.38,19,0.652,3,0.438
0.406,0.763,5,0.583,0,0.4315
0.826,0.714,2,0.765,2,0.5321
0.228,0.663,12,0.416,0,0.4353
0.524,0.006,23,0.133,0,0.3972
0.806,0.142,14,0.539,3,0.5039
0.353,0.223,5,0.748,0,0.197
0.642,0.272,8,0.154,2,0.5263
0.246,0.146,9,0.224,1,0.2384
0.109,0.41,8,0.697,0,0.2202
0.794,0.075,17,0.27,0,0.44
0.099,0.75,8,0.17,2,0.5421
0.271,0.788,23,0.889,4,0.486
0.855,0.574,17,0.161,2,0.7361
0.346,0.09,8,0.344,3,0.3257
0.973,0.89,4,0.428,3,0.7907
0.98,0.966,12,0.476,1,0.7458
0.268,0.202,11,0.361,0,0.2869
0.041,0.705,8,0.913,1,0.3433
0.705,0.842,18,0.659,1,0.7433
0.451,0.54,19,0.359,0,0.4275
0.101,0.323,0,0.358,0,0.2078
0.708,0.479,10,0.503,2,0.5091
0.031,0.512,4,0.034,1,0.3808
0.87,0.401,6,0.927,1,0.3817
0.139,0.93,12,0.223,3,0.5254
0.127,0.744,22,0.698,1,0.5511
0.176,0.241,5,0.778,2,0.2219
0.96,0.586,12,0.827,4,0.6266
0.693,0.689,5,0.166,1,0.7428
0.801,0.14,14,0.537,2,0.4327
0.398,0.358,7,0.084,2,0.4284
0.336,0.906,10,0.805,4,0.574
0.234,0.567,9,0.486,2,0.4651
0.481,0.217,8,0.158,3,0.3592
0.552,0.123,3,0.719,4,0.439
0.632,0.518,13,0.331,3,0.6313
0.257,0.548,3,0.115,1,0.4658
0.949,0.334,23,0.461,1,0.5686
0.17,0.63,14,0.235,2,0.4787
0.966,0.069,20,0.95,2,0.4807
0.015,0.145,9,0.361,4,0.2407
0.481,0.546,13,0.572,1,0.5241
0.333,0.062,5,0.948,0,0.1582
0.449,0.881,15,0.394,2,0.5601
0.571,0.142,11,0.358,4,0.3942
0.436,0.674,3,0.162,2,0.515
0.415,0.391,0,0.938,4,0.339
0.733,0.4,3,0.801,1,0.4148
0.686,0.765,12,0.221,2,0.6504
0.833,0.499,6,0.333,2,0.5556
0.25,0.726,14,0.915,0,0.3921
0.61,0.505,5,0.537,1,0.4599
0.585,0.593,13,0.556,4,0.5173
0.37,0.761,17,0.648,0,0.5051
0.486,0.607,3,0.762,4,0.5147
0.314,0.616,0,0.939,2,0.3721
0.142,0.789,2,0.802,3,0.3947
0.214,0.949,12,0.935,2,0.5119
0.106,0.377,17,0.821,1,0.2995
0.683,0.577,3,0.046,4,0.6662
0.661,0.086,3,0.118,0,0.3975
0.951,0.359,10,0.885,2,0.5332
0.73,0.412,13,0.028,4,0.5739
0.052,0.835,6,0.794,0,0.3399
0.884,0.513,2,0.85,2,0.4688
0.863,0.731,6,0.415,3,0.6085
0.443,0.019,7,0.355,3,0.2297
0.586,0.464,11,0.194,2,0.617
0.976,0.901,6,0.049,1,0.7802
0.532,0.224,23,0.745,3,0.5081
0.905,0.032,15,0.074,4,0.6284
0.083,0.433,16,0.945,1,0.2363
0.191,0.704,21,0.297,1,0.5492
0.441,0.454,3,0.794,2,0.4324
0.585,0.46,16,0.06,4,0.6183
0.816,0.67,17,0.536,4,0.7333
0.988,0.254,3,0.349,0,0.5138
0.389,0.752,16,0.03,3,0.7293
0.047,0.153,14,0.656,3,0.2242
0.801,0.396,21,0.943,1,0.5261
0.604,0.656,16,0.011,1,0.6261
0.199,0.828,12,0.27,2,0.4988
0.495,0.792,2,0.704,4,0.4943
0.742,0.722,11,0.871,3,0.6489
0.77,0.359,16,0.191,0,0.5874
0.5,0.122,21,0.071,3,0.5076
0.305,0.217,21,0.009,3,0.5056
0.974,0.865,6,0.215,3,0.7983
0.663,0.857,6,0.071,1,0.6852
0.408,0.952,10,0.359,4,0.7049
0.28,0.076,15,0.44,4,0.3525
0.731,0.537,3,0.48,3,0.5189
0.242,0.649,15,0.142,4,0.5951
0.172,0.711,4,0.464,2,0.4797
0.53,0.644,18,0.009,1,0.6
0.29,0.77,21,0.239,1,0.5712
0.629,0.359,13,0.369,4,0.6193
0.118,0.179,6,0.118,3,0.2998
0.655,0.205,8,0.814,3,0.3586
0.283,0.012,12,0.201,3,0.3973
0.0,0.35,15,0.755,4,0.2948
0.127,0.092,20,0.474,3,0.3301
0.934,0.321,3,0.48,4,0.4958
0.867,0.628,6,0.645,0,0.5586
0.234,0.894,2,0.044,4,0.5955
0.778,0.84,19,0.079,2,0.8226
0.609,0.253,14,0.327,3,0.5319
0.971,0.134,20,0.417,3,0.5114
0.374,0.193,13,0.43,1,0.3917
0.681,0.971,6,0.677,4,0.7285
0.064,0.549,17,0.001,0,0.4918
0.396,0.183,4,0.959,3,0.3056
0.964,0.841,20,0.174,1,0.8665
0.539,0.395,19,0.249,4,0.5095
0.288,0.899,7,0.906,1,0.4808
0.12,0.261,19,0.005,0,0.4424
0.704,0.393,17,0.991,4,0.4887
0.645,0.505,20,0.036,3,0.6732
0.374,0.893,18,0.121,4,0.7207
0.951,0.869,19,0.24,3,0.9107
0.022,0.574,2,0.439,2,0.3696
0.304,0.222,22,0.518,3,0.3019
0.921,0.403,5,0.105,1,0.5743
0.321,0.976,17,0.074,0,0.6033
0.252,0.608,14,0.032,4,0.5712
0.534,0.781,13,0.257,2,0.6293
0.824,0.45,23,0.922,2,0.575
0.103,0.532,20,0.39,2,0.536
0.943,0.429,21,0.764,1,0.5495
0.795,0.703,7,0.19,3,0.6039
0.181,0.851,10,0.065,2,0.5762
0.712,0.507,10,0.554,0,0.4864
0.385,0.481,11,0.822,0,0.3164
0.402,0.34,15,0.898,4,0.3927
0.783,0.177,6,0.546,0,0.3202
0.963,0.939,2,0.294,3,0.759
0.127,0.316,1,0.11,3,0.2955
0.421,0.801,2,0.668,2,0.4465
0.481,0.715,7,0.28,3,0.5952
0.376,0.791,19,0.844,3,0.5342
0.363,0.937,7,0.605,2,0.6127
0.052,0.623,3,0.859,4,0.3722
0.686,0.898,22,0.567,3,0.755
0.436,0.168,12,0.772,3,0.4102
0.195,0.627,21,0.294,1,0.4717
0.816,0.772,16,0.503,4,0.8028
0.803,0.272,23,0.019,2,0.6216
0.486,0.741,21,0.608,1,0.5939
0.298,0.778,17,0.534,1,0.6026
0.638,0.831,4,0.755,4,0.6781
0.288,0.313,11,0.729,3,0.3356
0.236,0.682,1,0.628,2,0.4356
0.731,0.304,9,0.057,4,0.5652
0.04,0.739,6,0.903,1,0.3556
0.095,0.463,14,0.018,0,0.432
0.007,0.598,21,0.803,2,0.3275
0.153,0.416,6,0.479,0,0.2829
0.069,0.162,14,0.818,3,0.3162
0.996,0.178,15,0.465,4,0.5942
0.289,0.078,21,0.647,3,0.3404
0.149,0.618,0,0.363,4,0.4429
0.241,0.849,14,0.744,1,0.4343
0.936,0.021,2,0.254,3,0.3645
0.52,0.066,9,0.719,0,0.2821
0.365,0.457,15,0.193,1,0.397
0.873,0.738,1,0.722,4,0.6373
0.395,0.158,16,0.294,1,0.3914
0.335,0.272,0,0.279,0,0.2889
0.207,0.232,3,0.811,2,0.1815
0.378,0.399,10,0.814,4,0.4189
0.317,0.225,16,0.691,2,0.3035
0.677,0.353,1,0.924,1,0.4095
0.29,0.729,0,0.156,3,0.5255
0.577,0.611,5,0.269,4,0.6036
0.066,0.081,10,0.294,1,0.2737
0.191,0.638,3,0.305,4,0.4635
0.407,0.477,23,0.328,0,0.4262
0.937,0.935,10,0.697,1,0.6437
0.377,0.289,4,0.271,3,0.4129
0.664,0.726,9,0.286,4,0.6878
0.255,0.731,4,0.57,3,0.484
0.127,0.222,23,0.193,3,0.4312
0.059,0.903,21,0.365,0,0.5107
0.305,0.491,21,0.058,2,0.6488
0.158,0.679,2,0.953,1,0.3534
0.174,0.146,5,0.317,2,0.2555
0.761,0.258,12,0.85,2,0.3541
0.016,0.586,15,0.53,0,0.3066
0.558,0.319,6,0.228,3,0.5423
0.379,0.5,17,0.193,3,0.6114
0.507,0.374,2,0.695,1,0.4146
0.563,0.641,5,0.965,0,0.3792
0.313,0.487,9,0.183,4,0.5093
0.295,0.005,15,0.115,3,0.3697
0.733,0.65,12,0.387,1,0.6781
0.871,0.422,23,0.394,4,0.6881
0.193,0.342,23,0.806,2,0.3194
0.098,0.094,8,0.469,0,0.1238
0.898,0.22,15,0.062,4,0.6599
0.35,0.224,10,0.921,3,0.1979
0.551,0.935,8,0.373,1,0.6427
0.36,0.433,9,0.669,1,0.4275
0.126,0.042,10,0.667,0,0.1696
0.589,0.139,20,0.056,2,0.5165
0.525,0.079,21,0.004,3,0.4274
0.203,0.589,14,0.088,2,0.4355
0.452,0.187,20,0.957,0,0.2765
0.797,0.499,12,0.794,0,0.4511
0.59,0.37,16,0.132,2,0.5322
0.097,0.804,3,0.615,4,0.495
0.548,0.32,10,0.612,4,0.4792
0.703,0.458,0,0.001,0,0.5045
0.793,0.721,0,0.429,4,0.6443
0.629,0.433,2,0.712,4,0.4491
0.153,0.793,22,0.187,1,0.5808
0.71,0.662,14,0.851,2,0.6931
0.677,0.411,0,0.66,1,0.3852
0.024,0.504,22,0.007,1,0.4058
0.412,0.967,15,0.855,0,0.5538
0.333,0.662,16,0.019,0,0.4939
0.669,0.905,8,0.888,0,0.5948
0.216,0.179,4,0.334,1,0.3786
0.591,0.483,5,0.699,3,0.575
0.913,0.909,14,0.787,1,0.6812
0.798,0.323,8,0.281,1,0.4665
0.921,0.968,2,0.356,1,0.7908
0.979,0.097,18,0.51,4,0.5954
0.011,0.903,20,0.583,4,0.5689
0.623,0.445,12,0.292,0,0.4911
0.413,0.074,12,0.992,1,0.2476
0.86,0.88,22,0.737,1,0.7053
0.252,0.252,2,0.274,0,0.3141
0.981,0.022,19,0.64,2,0.4922
0.614,0.136,13,0.435,3,0.4261
0.794,0.659,1,0.86,3,0.5939
0.086,0.978,9,0.329,2,0.486
0.183,0.111,8,0.188,0,0.2908
0.758,0.462,12,0.046,2,0.6678
0.022,0.181,10,0.984,3,0.1323
0.817,0.745,1,0.359,2,0.6012
0.014,0.118,15,0.221,1,0.1583
0.657,0.24,4,0.492,4,0.4977
0.365,0.196,0,0.292,1,0.3073
0.611,0.553,7,0.233,3,0.5303
0.696,0.873,21,0.616,4,0.7907
0.342,0.511,15,0.075,4,0.5425
0.108,0.058,13,0.509,2,0.185
0.07,0.563,1,0.387,1,0.3949
0.589,0.798,17,0.533,2,0.5933
0.521,0.132,20,0.32,3,0.443
0.742,0.073,6,0.57,4,0.4026
0.51,0.188,11,0.082,2,0.4303
0.422,0.746,14,0.376,4,0.5854
0.398,0.592,21,0.237,1,0.5958
0.026,0.541,1,0.438,3,0.3376
0.336,0.249,21,0.398,1,0.3659
0.976,0.332,16,0.631,2,0.568
0.874,0.966,10,0.629,2,0.7038
0.329,0.241,1,0.413,0,0.306
0.588,0.902,18,0.182,1,0.6966
0.847,0.581,4,0.582,3,0.6512
0.441,0.123,16,0.967,4,0.4318
0.018,0.467,15,0.185,0,0.3109
0.075,0.949,12,0.069,3,0.4986
0.51,0.419,12,0.265,1,0.4718
0.969,0.863,12,0.413,4,0.7706
0.693,0.256,4,0.306,3,0.4338
0.071,0.571,4,0.835,0,0.2311
0.189,0.844,19,0.493,4,0.6037
0.771,0.921,18,0.246,1,0.6599
0.841,0.486,6,0.95,4,0.587
0.618,0.64,10,0.125,1,0.6688
0.644,0.003,22,0.123,2,0.4122
0.028,0.253,0,0.245,2,0.2094
0.829,0.279,6,0.077,1,0.5299
0.788,0.093,2,0.752,3,0.3622
0.259,0.28,12,0.313,0,0.3267
0.709,0.321,2,0.73,2,0.4132
0.215,0.969,5,0.763,3,0.4841
0.04,0.669,21,0.238,4,0.5225
0.201,0.426,14,0.518,2,0.3393
0.179,0.988,3,0.52,3,0.5704
0.338,0.153,4,0.871,0,0.1638
0.418,0.476,2,0.026,4,0.4583
0.509,0.647,18,0.317,2,0.522
0.477,0.056,20,0.882,2,0.3046
0.271,0.717,15,0.237,0,0.5056
0.029,0.1,16,0.137,1,0.2226
0.605,0.14,8,0.576,2,0.4106
0.396,0.16,21,0.306,1,0.4637
0.299,0.929,8,0.467,0,0.5896
0.867,0.683,13,0.82,0,0.6527
0.747,0.655,22,0.521,3,0.7243
0.858,0.555,10,0.516,2,0.6404
0.495,0.293,9,0.278,4,0.5147
0.131,0.621,22,0.793,4,0.493
0.696,0.41,4,0.74,0,0.4138
0.206,0.145,22,0.234,4,0.4152
0.441,0.69,3,0.32,4,0.5797
0.065,0.13,10,0.789,4,0.3137
0.825,0.191,5,0.358,3,0.4952
0.126,0.818,1,0.404,3,0.4837
0.903,0.66,2,0.364,0,0.6613
0.864,0.631,17,0.162,4,0.7757
0.465,0.418,17,0.341,0,0.487
0.744,0.396,6,0.803,0,0.4232
0.619,0.69,20,0.491,0,0.591
0.803,0.74,12,0.458,3,0.7386
0.432,0.51,12,0.156,3,0.4598
0.786,0.969,5,0.178,2,0.7704
0.462,0.956,2,0.043,4,0.6175
0.941,0.412,9,0.014,1,0.5477
0.486,0.821,20,0.488,3,0.5416
0.463,0.543,4,0.409,1,0.4809
0.785,0.512,10,0.275,4,0.5831
0.822,0.055,3,0.99,4,0.3267
0.554,0.574,9,0.398,3,0.5972
0.18,0.901,3,0.789,1,0.4154
0.468,0.78,12,0.211,0,0.5542
0.968,0.786,7,0.247,0,0.7658
0.753,0.16,5,0.568,3,0.4488
0.811,0.358,10,0.004,1,0.5592
0.033,0.233,1,0.017,3,0.3194
0.468,0.316,17,0.142,0,0.392
0.647,0.58,17,0.223,4,0.6326
0.83,0.365,21,0.528,3,0.6691
0.049,0.561,11,0.686,0,0.237
0.852,0.439,16,0.312,4,0.6244
0.548,0.287,18,0.239,3,0.4943
0.197,0.095,16,0.823,3,0.2143
0.317,0.892,3,0.163,0,0.5631
0.282,0.011,16,0.678,0,0.2105
0.531,0.002,15,0.931,4,0.3393
0.052,0.827,8,0.232,2,0.5261
0.159,0.997,10,0.087,4,0.6817
0.813,0.727,11,0.98,3,0.6756
0.133,0.015,10,0.271,3,0.3046
0.233,0.227,12,0.276,3,0.3566
0.453,0.972,21,0.484,0,0.7131
0.517,0.809,7,0.231,3,0.6125
0.764,0.567,13,0.993,3,0.5205
0.447,0.237,17,0.043,4,0.5155
0.79,0.014,13,0.451,0,0.4196
0.618,0.021,15,0.548,4,0.4177
0.113,0.612,14,0.467,2,0.4188
0.156,0.022,21,0.521,4,0.2868
0.437,0.994,19,0.988,4,0.6972
0.397,0.183,6,0.877,2,0.2635
0.744,0.711,7,0.308,4,0.7205
0.581,0.155,5,0.551,3,0.2646
0.388,0.54,12,0.0,3,0.4729
0.171,0.081,16,0.41,1,0.319
0.227,0.767,7,0.164,0,0.3713
0.576,0.585,10,0.711,3,0.4308
0.423,0.086,16,0.221,0,0.3407
0.515,0.849,8,0.749,4,0.6464
0.171,0.547,1,0.313,1,0.2604
0.663,0.922,9,0.926,3,0.6282
0.853,0.917,21,0.445,4,0.8658
0.258,0.921,23,0.84,1,0.5124
0.492,0.078,20,0.628,4,0.3796
0.976,0.121,13,0.977,0,0.4323
0.333,0.988,1,0.743,4,0.5779
0.595,0.488,4,0.728,4,0.4814
0.09,0.238,16,0.265,4,0.3267
0.606,0.77,23,0.505,1,0.6059
0.09,0.264,7,0.29,4,0.3496
0.959,0.727,17,0.019,1,0.7644
0.716,0.837,21,0.711,1,0.611
0.788,0.784,23,0.236,2,0.7026
0.704,0.274,7,0.397,4,0.395
0.59,0.402,11,0.285,3,0.4955
0.45,0.413,13,0.2,1,0.4731
0.858,0.491,22,0.067,4,0.8026
0.957,0.167,2,0.338,3,0.5562
0.499,0.452,13,0.082,0,0.4813
0.932,0.511,3,0.54,3,0.5749
0.583,0.532,0,0.02,1,0.4971
0.538,0.82,8,0.94,1,0.4296
0.454,0.517,13,0.966,1,0.3311
0.209,0.231,9,0.305,2,0.3035
0.004,0.663,17,0.26,3,0.4651
0.242,0.797,9,0.104,4,0.5831
0.51,0.319,6,0.905,4,0.326
0.38,0.645,7,0.587,1,0.4257
0.448,0.147,13,0.61,3,0.31
0.981,0.342,3,0.896,0,0.5033
0.35,0.909,10,0.911,3,0.5762
0.452,0.911,9,0.828,4,0.5885
0.134,0.575,16,0.773,1,0.4203
0.048,0.702,4,0.877,3,0.3753
0.775,0.854,9,0.876,2,0.6362
0.571,0.959,9,0.369,1,0.6623
0.761,0.49,21,0.973,2,0.4534
0.15,0.562,6,0.709,1,0.3524
0.572,0.416,16,0.37,4,0.6041
0.254,0.072,19,0.442,0,0.292
0.228,0.423,11,0.687,3,0.3738
0.012,0.791,4,0.361,3,0.4712
0.13,0.805,4,0.827,1,0.4115
0.309,0.892,22,0.148,0,0.6674
0.117,0.051,3,0.908,0,0.104
0.986,0.527,6,0.301,4,0.7592
0.309,0.107,23,0.153,2,0.3681
0.13,0.201,1,0.858,3,0.1822
0.199,0.9,0,0.239,1,0.549
0.588,0.497,9,0.843,0,0.438
0.064,0.759,0,0.296,3,0.4701
0.862,0.064,12,0.934,3,0.4593
0.961,0.417,16,0.219,3,0.61
0.247,0.674,8,0.07,0,0.5042
0.45,0.133,3,0.937,4,0.2572
0.022,0.326,8,0.166,3,0.3743
0.641,0.065,6,0.944,0,0.2216
0.414,0.651,22,0.824,0,0.5166
0.27,0.971,1,0.082,1,0.6423
0.207,0.827,17,0.445,4,0.5514
0.654,0.975,20,0.073,4,0.7799
0.416,0.846,14,0.33,4,0.6782
0.18,0.855,9,0.352,0,0.5506
0.689,0.577,16,0.6,0,0.6105
0.565,0.518,6,0.976,4,0.5455
0.859,0.406,10,0.17,0,0.5185
0.117,0.818,6,0.329,4,0.5106
0.786,0.182,10,0.587,1,0.387
0.674,0.056,23,0.171,2,0.4742
0.115,0.948,22,0.711,2,0.5515
0.695,0.004,23,0.404,2,0.4796
0.442,0.977,14,0.95,2,0.6098
0.945,0.729,18,0.63,1,0.7509
0.142,0.328,18,0.363,0,0.3099
0.643,0.698,23,0.719,1,0.6671
0.382,0.818,9,0.839,3,0.5207
0.957,0.245,15,0.8,0,0.484
0.33,0.771,19,0.263,4,0.7161
0.962,0.804,7,0.417,3,0.653
0.901,0.249,0,0.452,3,0.5032
0.27,0.042,1,0.388,1,0.1243
0.804,0.204,9,0.311,3,0.4419
0.996,0.201,9,0.753,1,0.4664
0.253,0.065,9,0.012,3,0.2965
0.437,0.726,8,0.294,1,0.5664
0.52,0.38,17,0.142,0,0.4924
0.295,0.884,1,0.129,3,0.5568
0.015,0.252,23,0.277,1,0.2392
0.22,0.453,4,0.762,2,0.3745
0.282,0.639,20,0.969,2,0.4446
0.444,0.877,10,0.515,3,0.5722
0.171,0.525,5,0.339,1,0.3362
0.873,0.374,7,0.829,0,0.3935
0.705,0.867,7,0.067,3,0.7487
0.085,0.31,9,0.093,0,0.3468
0.65,0.079,10,0.345,1,0.404
0.654,0.445,18,0.448,2,0.6106
0.956,0.785,13,0.798,1,0.6809
0.003,0.031,10,0.925,0,0.1396
0.248,0.586,2,0.531,2,0.3955
0.928,0.594,0,0.496,3,0.5284
0.932,0.929,20,0.213,2,0.7813
0.721,0.286,22,0.451,3,0.5327
0.766,0.279,2,0.924,3,0.3909
0.091,0.44,8,0.393,2,0.3106
0.514,0.357,0,0.211,2,0.4637
